Employment,Country,Student,EdLevel,DevType,YearsCode,CompTotal,CompFreq,ConvertedComp,WorkWeekHrs,Age,Gender,Ethnicity,NormalizedAnnualCompensation
full-time,United States,No,Bachelors degree,Developer,10,80000,Yearly,80000,40,24,Man,White,80000
full-time,United States,No,Bachelors degree,Database administrator,20,85000,Weekly,2000000,45,38,Man,White,4420000
full-time,Spain,Yes,Bachelors degree,full-stack,9,46000,Yearly,52704,40,25,Man,Hispanic,46000
full-time,Brazil,Yes,Bachelors degree,Developer,9,2240,Monthly,7344,40,23,Man,,26880
full-time,Germany,No,Secondary school,Developer,3,2700,Monthly,37128,40,28,Man,White,32400
full-time,Iran,No,Bachelors degree,Developer,6,45000000,Monthly,12828,44,31,Woman,Asian,540000000
full-time,Serbia,No,Masters degree ,Developer,10,4300,Monthly,59124,40,29,Man,White,51600
full-time,Australia,No,Bachelors degree,Developer,6,80000,Yearly,58024,40,24,Man,White,80000
full-time,United States,Yes,No education,Database administrator,7,75000,Weekly,2000000,40,35,Man,White,3900000
full-time,New Zealand,No,Bachelors degree,Developer,25,9855,Monthly,85776,40,39,Man,White,118260
full-time,Germany,Yes,Bachelors degree,Academic researcher,20,50000,Yearly,57287,40,32,Man,White,50000
full-time,United States,No,No degree,Developer,30,85000,Yearly,85000,40,37,Man,White,85000
full-time,India,No,Masters degree ,Developer,12,690000,Yearly,9655,45,29,Man,Asian,690000
full-time,Russian Federation,Yes,Bachelors degree,Data or business analyst,9,160000,Monthly,29328,40,23,Man,White,1920000
full-time,Poland,Yes,Bachelors degree,Developer,4,10400,Monthly,33348,40,23,Man,White,124800
full-time,United Kingdom,No,No degree,Developer,8,28000,Yearly,36637,40,28,Man,White,28000
full-time,India,No,Masters degree ,Developer,10,25000,Monthly,4200,60,26,Woman,,300000
full-time,India,No,Bachelors degree,Developer,10,35000,Monthly,5880,45,30,Man,Asian,420000
full-time,France,No,Bachelors degree,Developer,5,37000,Yearly,42393,37,29,Man,White,37000
full-time,United States,No,,Developer,30,118000,Yearly,118000,40,46,Man,White,118000
full-time,Poland,No,Secondary school,Developer,6,11700,Monthly,37512,160,22,Man,White,140400
full-time,Poland,No,Bachelors degree,Developer,13,6000,Weekly,80150,35,31,Man,White,312000
full-time,Poland,No,No degree,Developer,12,10400,Monthly,33348,40,32,Man,White,124800
full-time,France,No,Masters degree ,Developer,30,60000,Yearly,68745,38,41,Man,Black,60000
full-time,United States,No,Masters degree ,Developer,9,97000,Yearly,97000,35,25,Man,White,97000
full-time,Mauritius,No,Bachelors degree,Data or business analyst,8,20000,Monthly,7080,40,27,Woman,Black,240000
full-time,Croatia,No,Masters degree ,Developer,8,193196,Yearly,29858,40,27,Man,White,193196
full-time,United States,No,Bachelors degree,Developer,17,121000,Yearly,121000,40,37,Man,White,121000
full-time,United States,No,Bachelors degree,full-stack,6,58000,Yearly,58000,45,23,Man,White,58000
full-time,India,No,Bachelors degree,Designer,7,850000,Yearly,11894,45,24,Man,,850000
full-time,Russian Federation,No,Bachelors degree,Data or business analyst,10,112000,Monthly,20532,20,31,Man,White,1344000
full-time,Ukraine,No,Masters degree ,Developer,15,1050,Weekly,52500,40,32,Man,White,54600
full-time,South Korea,Yes,Bachelors degree,Developer,8,42000000,Yearly,37531,40,29,Man,Asian,42000000
part-time,Switzerland,Yes,Secondary school,Developer,5,2600,Monthly,31344,24,20,Man,White,31200
full-time,United States,No,Bachelors degree,full-stack,15,110000,Yearly,110000,40,30,Man,White,110000
full-time,United States,No,No degree,Data scientist or machine learning specialist,22,140000,Weekly,2000000,50,40,Man,White,7280000
full-time,India,No,Bachelors degree,Developer,8,520000,Yearly,7276,55,23,Man,Asian,520000
full-time,Canada,No,Masters degree ,Data scientist or machine learning specialist,5,110000,Yearly,83972,50,30,Woman,Asian,110000
full-time,Netherlands,No,Masters degree ,full-stack,7,42120,Yearly,48259,40,24,Man,White,42120
full-time,United States,No,Bachelors degree,full-stack,10,53500,Yearly,53500,40,25,Man,White,53500
full-time,Canada,No,Bachelors degree,Developer,19,90000,Yearly,68705,40,37,Man,White,90000
full-time,Sweden,No,No degree,full-stack,13,60000,Monthly,79536,40,42,Man,White,720000
full-time,Netherlands,No,Bachelors degree,full-stack,10,3500,Monthly,48120,40,25,Man,White,42000
full-time,Bulgaria,,No degree,Developer,6,1300,Monthly,9132,40,24,Woman,White,15600
full-time,Germany,No,Masters degree ,full-stack,20,105000,Yearly,120304,45,36,Man,White,105000
full-time,India,No,Bachelors degree,full-stack,1,,Monthly,,,24,Man,Asian,
full-time,Canada,No,,Developer,7,61000,Yearly,46566,40,23,Man,White,61000
full-time,United Kingdom,No,Masters degree ,Data scientist or machine learning specialist,23,180000,Yearly,235525,70,35,Man,White,180000
full-time,Canada,No,Other doctoral degree ,Academic researcher,25,50000,Yearly,38169,60,35,Man,White,50000
full-time,Israel,Yes,No degree,full-stack,3,6240,Monthly,20580,40,20,Woman,Middle Eastern,74880
full-time,United States,No,Bachelors degree,Designer,17,104000,Yearly,104000,50,40,Man,White,104000
full-time,France,No,Other doctoral degree ,Academic researcher,20,65000,Yearly,74474,40,30,Woman,Asian,65000
part-time,Brazil,Yes,No degree,Developer,10,,Monthly,,20,21,Man,White,
full-time,United States,No,Masters degree ,full-stack,6,56000,Yearly,56000,40,30,Woman,White,56000
full-time,China,Yes,Bachelors degree,Data or business analyst,7,17000,Monthly,30240,60,28,Man,Asian,204000
full-time,United States,No,Bachelors degree,Database administrator,12,100000,Yearly,100000,36,28,Man,Black,100000
full-time,Slovenia,No,No degree,Developer,12,1300,Monthly,17868,100,27,Man,White,15600
full-time,India,No,Bachelors degree,Database administrator,12,,Monthly,,48,24,Man,,
full-time,Argentina,Yes,No degree,full-stack,6,50000,Monthly,16152,8,23,Woman,Hispanic,600000
full-time,Germany,No,Bachelors degree,Developer,8,60000,Yearly,68745,40,,Man,Asian,60000
full-time,United States,No,Bachelors degree,full-stack,20,190000,Yearly,190000,40,30,Man,White,190000
full-time,Netherlands,No,Bachelors degree,Developer,13,70000,Yearly,80202,40,,Man,White,70000
full-time,United States,Yes,No degree,Data or business analyst,2,35000,Weekly,1750000,45,24,Man,White,1820000
full-time,Ukraine,No,No degree,Developer,11,5000,Monthly,60000,40,25,Man,White,60000
